CODIGO;DENOMINACION;GRUPO_CODIGO;GRUPO_NOMBRE;SECCION_CODIGO;SECCION_NOMBRE;SUBSECCION_CODIGO;SUBSECCION_NOMBRE;SITUACION
01830;"Anestesia para procedimientos a cielo abierto o de artroscopía quirúrgica en radio distal, cúbito distal, muñeca o huesos de la mano; no especificados de otra forma";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01832;"Anestesia para procedimientos a cielo abierto o de artroscopía quirúrgica en radio distal, cúbito distal, muñeca o huesos de la mano; reemplazo total de muñeca";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01840;"Anestesia para procedimientos en arterias del antebrazo, muñeca y mano; no especificados de otra forma";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01842;"Anestesia para procedimientos en arterias del antebrazo, muñeca y mano; embolectomía";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01844;Anestesia para derivación vascular, o para revisión de derivación, de cualquier tipo (p. ej. Diálisis);1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01850;"Anestesia para procedimientos en venas del antebrazo, muñeca y mano; no especificados de otra forma";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01852;"Anestesia para procedimientos en venas del antebrazo, muñeca y mano; fleborafia";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01860;Anestesia para aplicación, remoción o corrección de yeso del antebrazo, muñeca o mano;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01905;Anestesia para mielografía, discografía, vertebroplastía;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.15;Subsección Antebrazo, Muñeca y Mano;ACTIVO
01916;Anestesia para arteriografía/venografía diagnóstica;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01920;Anestesia para cateterización cardíaca incluyendo arteriografía coronaria y ventriculografía (no incluye catéter Swan-Ganz);1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01922;Anestesia para imágenes no invasivas o para radioterapia;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01924;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema arterial; sin otra especificación";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01925;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema arterial; carotideo o coronario";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01926;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema arterial; intracraneal, intracardiaco, o aórtico";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01930;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema venoso/linfático (no incluye acceso a la circulación central); sin otra especificación";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01931;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema venoso/linfático (no incluye acceso a la circulación central); circulación intrahepática o portal (p. ej. derivación(es) transvenosa intrahepática portosistémica(s) [TIPS])";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01932;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema venoso/linfático (no incluye acceso a la circulación central); intratorácica o yugular";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01933;"Anestesia para procedimientos de radiología intervencionista terapéutica que involucra el sistema venoso/linfático (no incluye acceso a la circulación central); intracraneal";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01935;"Anestesia para procedimientos percutáneos guiados con imágenes en la columna y médula espinal; diagnóstica";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
01936;"Anestesia para procedimientos percutáneos guiados con imágenes en la columna y médula espinal; terapéutica";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.16;Subsección Procedimientos Radiológicos;ACTIVO
21230;Injerto autólogo de cartílago de costilla en cara, mentón, nariz, oreja (incluye obtención de injerto);1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
21235;Injerto autólogo de cartílago de oreja nariz u oreja (incluye obtención de injerto);1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
21240;Artroplastía témporomandibular con o sin autoinjerto (incluye obtención de injerto);1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
21242;Artroplastía témporomandibular con autoinjerto;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
00882;"Anestesia para procedimientos en vasos mayores del abdomen bajo; ligadura de vena cava inferior";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.7;Subsección Abdomen Inferior;ACTIVO
00902;Anestesia para procedimiento anorrectal;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00904;Anestesia para procedimiento perineal radical;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00906;Anestesia para vulvectomía;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00908;Anestesia para prostatectomía perineal;1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00910;"Anestesia para procedimientos transuretrales (incluyendo uretrocistoscopía); no especificados de otra forma";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00912;"Anestesia para procedimientos transuretrales (incluyendo uretrocistoscopía); resección transuretral de tumores de vejiga";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00914;"Anestesia para procedimientos transuretrales (incluyendo uretrocistoscopía); resección transuretral de próstata";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00916;"Anestesia para procedimientos transuretrales (incluyendo uretrocistoscopía); sangrado posterior a resección transuretral";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00918;"Anestesia para procedimientos transuretrales (incluyendo uretrocistoscopía); con fragmentación y/o extirpación de cálculo uretral";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00920;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos de uretra); no especificados de otra forma";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00921;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos de uretra); vasectomía, unilateral o bilateral";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00922;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos de uretra); vesículas seminales";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00924;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); testículos no descendidos, unilateral o bilateral";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00926;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); orquiectomía radical, inguinal";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00928;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); orquiectomía radical, abdominal";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00930;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); orquiopexia, unilateral o bilateral";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00932;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); amputación completa del pene";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
