CO_CODUPS;DE_NOMBREUPS;TABLA_D1_SETI IPRESS;TABLA_G_SETIIPRESS;TABLA_I_SETIIPRESS
160803;REHAB. EN SALUD MENTAL-TERAPIA PSIQUIÁTRICA INDIVIDUAL NIÑO / ADOLESCENTE;0;1;1
160804;REHAB. EN SALUD MENTAL-TERAPIA PSIQUIÁTRICA INDIVIDUAL ADULTO / GERONTE;0;1;1
160805;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-REHAB. EN SALUD MENTAL-TERAPIA FAMILIAR;0;1;1
160806;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-REHAB. EN SALUD MENTAL-PSICOLOGÍA GRUPAL;0;1;1
160807;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-REHAB. EN SALUD MENTAL-PSIQUIATRÍA GRUPAL;0;1;1
170000;QUIMIOTERAPIA;0;1;1
180000;RADIOTERAPIA;0;1;1
180100;RADIOTERAPIA-BRAQUITERAPIA-;0;1;1
180200;RADIOTERAPIA-RADIOTERAPIA (Cobaltoterapia y Acelerador lineal)-;0;1;1
190000;BIENESTAR  FETAL;0;1;1
190100;BIENESTAR FETAL-PERFIL BIOFÍSICO-;0;1;1
190200;BIENESTAR FETAL-MONITOREO FETAL NST / ST-;0;1;1
200000;NUTRICIÓN Y DIETÉTICA;0;1;1
210000;TERAPIA NUTRICIONAL ESPECIALIZADA;0;1;1
220000;CONSULTA EXTERNA;0;1;1
220100;CONSULTA EXTERNA-CIRUGÍA GENERAL-;0;1;1
220200;CONSULTA EXTERNA-CIRUGÍA DE CABEZA Y CUELLO / MAXILO FACIAL-;0;1;1
220300;CONSULTA EXTERNA-CIRUGÍA DIGESTIVA;0;1;1
220301;CONSULTA EXTERNA-CIRUGÍA DIGESTIVA-CIRUGÍA COLORECTAL;0;1;1
220302;CONSULTA EXTERNA-CIRUGÍA DIGESTIVA-CIRUGÍA GASTROINTESTINAL GENERAL;0;1;1
220303;CONSULTA EXTERNA-CIRUGÍA DIGESTIVA-CIRUGÍA HEPATOBILIAR;0;1;1
220304;CONSULTA EXTERNA-CIRUGÍA DIGESTIVA-CIRUGÍA PANCREÁTICA;0;1;1
220305;CONSULTA EXTERNA-CIRUGÍA DIGESTIVA-CIRUGÍA DE TRACTO GASTROINTESTINAL SUPERIOR;0;1;1
220400;CONSULTA EXTERNA-CIRUGÍA DE MAMA-;0;1;1
220500;CONSULTA EXTERNA-CIRUGÍA PEDIÁTRICA-;0;1;1
220503;CONSULTA EXTERNA-CIRUGÍA PEDIÁTRICA-REPARADORA;0;1;1
220600;CONSULTA EXTERNA-CIRUGÍA PLÁSTICA;0;1;1
220601;CONSULTA EXTERNA-CIRUGÍA PLÁSTICA-ESTÉTICA;0;1;1
220602;CONSULTA EXTERNA-CIRUGÍA PLÁSTICA-QUEMADOS;0;1;1
220603;CONSULTA EXTERNA-CIRUGÍA PLÁSTICA-REPARADORA;0;1;1
220700;CONSULTA EXTERNA-CIRUGÍA DE TÓRAX Y CARDIOVASCULAR;0;1;1
220701;CONSULTA EXTERNA-CIRUGÍA DE TÓRAX Y CARDIOVASCULAR-CIRUGÍA CARDIACA;0;1;1
220702;CONSULTA EXTERNA-CIRUGÍA DE TÓRAX Y CARDIOVASCULAR-CIRUGÍA DE TÓRAX;0;1;1
220703;CONSULTA EXTERNA-CIRUGÍA DE TÓRAX Y CARDIOVASCULAR-CIRUGÍA VASCULAR;0;1;1
220800;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES;0;1;1
220801;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES-PROCURA DE ÓRGANOS / LOGÍSTICA;0;1;1
220802;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES-TRANSPLANTE DE CÉLULAS MADRE;0;1;1
220803;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES-TRANSPLANTE DE CÓRNEA;0;1;1
220804;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES-TRANSPLANTE DE HÍGADO;0;1;1
220805;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES-TRANSPLANTE DE MEDULA ÓSEA;0;1;1
220806;CONSULTA EXTERNA-CIRUGÍA DE TRANSPLANTES-TRANSPLANTE RENAL;0;1;1
220900;CONSULTA EXTERNA-NEUROCIRUGÍA;0;1;1
220901;CONSULTA EXTERNA-NEUROCIRUGÍA-NEUROCIRUGÍA PEDIÁTRICA;0;1;1
220904;CONSULTA EXTERNA NEUROCIRUGÍA CIRUGIA DE COLUMNA VERTEBRAL Y NERVIOS PERIFERICOS;0;1;1
220905;CONSULTA EXTERNA NEUROCIRUGÍA NEUROCIRUGIA DE BASE DE CRANEO Y ENDOCIRUGIA;0;1;1
220906;CONSULTA EXTERNA NEUROCIRUGÍA NEUROCIRUGIA FUNCIONAL EPILEPSIA, MOVIMIENTOS INVOLUNTARIOS, DOLOR;0;1;1
220907;CONSULTA EXTERNA NEUROCIRUGÍA CIRUGIA VASCULAR CEREBRAL;0;1;1
220908;CONSULTA EXTERNA NEUROCIRUGÍA NEUROCIRUGIA ENDOVASCULAR;0;1;1
220910;CONSULTA EXTERNA NEUROCIRUGÍA CIRUGIA TUMORES CEREBRALES;0;1;1
220911;CONSULTA EXTERNA NEUROCIRUGÍA NEUROANESTESIOLOGIA;0;1;1
221000;CONSULTA EXTERNA-OFTALMOLOGÍA;0;1;1
221001;CONSULTA EXTERNA-OFTALMOLOGÍA-CIRUGÍA PLÁSTICA OFTALMOLÓGICA;0;1;1
221002;CONSULTA EXTERNA-OFTALMOLOGÍA-CÓRNEA;0;1;1
221003;CONSULTA EXTERNA-OFTALMOLOGÍA-ESTRABISMO;0;1;1
221004;CONSULTA EXTERNA-OFTALMOLOGÍA-GLAUCOMA;0;1;1
221005;CONSULTA EXTERNA NEUROLOGIA NEUROOFTALMOLOGIA;0;1;1
221005;CONSULTA EXTERNA-OFTALMOLOGÍA-NEUROFTALMOLOGÍA;0;1;1
221006;CONSULTA EXTERNA-OFTALMOLOGÍA-RETINA;0;1;1
221007;CONSULTA EXTERNA-OFTALMOLOGÍA-TUMORES OCULARES;0;1;1
221008;CONSULTA EXTERNA-OFTALMOLOGÍA-ÚVEA;0;1;1
221100;CONSULTA EXTERNA-ONCOLOGÍA QUIRÚRGICA -;0;1;1
221200;CONSULTA EXTERNA-OTORRINOLARINGOLOGÍA -;0;1;1
221300;CONSULTA EXTERNA-TRAUMATOLOGÍA Y ORTOPEDIA;0;1;1
221301;CONSULTA EXTERNA-TRAUMATOLOGÍA Y ORTOPEDIA-CIRUGÍA DE MANO;0;1;1
221302;CONSULTA EXTERNA-TRAUMATOLOGÍA Y ORTOPEDIA-ORTOPEDIA;0;1;1
221303;CONSULTA EXTERNA-TRAUMATOLOGÍA Y ORTOPEDIA-TRAUMATOLOGÍA;0;1;1
221400;CONSULTA EXTERNA-UROLOGÍA -;0;1;1
221500;CONSULTA EXTERNA-GINECOLOGÍA GENERAL;0;1;1
221501;CONSULTA EXTERNA-GINECOLOGÍA GENERAL-ENDOCRINOLOGÍA GINECOLÓGICA;0;1;1
221502;CONSULTA EXTERNA-GINECOLOGÍA GENERAL-GINECOLOGÍA;0;1;1
221503;CONSULTA EXTERNA-GINECOLOGÍA GENERAL-INFERTILIDAD O REPRODUCCIÓN HUMANA;0;1;1
221504;CONSULTA EXTERNA-GINECOLOGÍA GENERAL-ONCOLOGÍA GINECOLÓGICA;0;1;1
221505;CONSULTA EXTERNA-GINECOLOGÍA GENERAL-PLANIFICACIÓN FAMILIAR;0;1;1
221600;CONSULTA EXTERNA-OBSTETRICIA / ATENCIÓN DE LA MUJER;0;1;1
221601;CONSULTA EXTERNA-OBSTETRICIA / ATENCIÓN DE LA MUJER-OBSTETRICIA;0;1;1
221602;CONSULTA EXTERNA-OBSTETRICIA / ATENCIÓN DE LA MUJER-PSICOPROFILAXIS OBSTÉTRICA;0;1;1
221700;CONSULTA EXTERNA-CIRUGÍA ORAL-;0;1;1
221800;CONSULTA EXTERNA-ODONTOLOGÍA ESPECIALIZADA;0;1;1
221801;CONSULTA EXTERNA-ODONTOLOGÍA ESPECIALIZADA- ENDODONCIA;0;1;1
221802;CONSULTA EXTERNA-ODONTOLOGÍA ESPECIALIZADA- PERIODONCIA;0;1;1
221900;CONSULTA EXTERNA-ODONTOLOGÍA GENERAL-;0;1;1
222000;CONSULTA EXTERNA-ODONTOLOGÍA PEDIÁTRICA-;0;1;1
222100;CONSULTA EXTERNA-ORTODONCIA / ORTOPEDIA DE LOS MAXILARES-;0;1;1
222200;CONSULTA EXTERNA-PRÓTESIS DENTAL-;0;1;1
222300;CONSULTA EXTERNA-RADIOLOGÍA ODONTOLÓGICA -;0;1;1
222400;CONSULTA EXTERNA-MEDICINA GENERAL / ATENCIÓN DEL ADULTO-;0;1;1
222500;CONSULTA EXTERNA-CARDIOLOGÍA;0;1;1
222501;CONSULTA EXTERNA-CARDIOLOGÍA-HIPERTENSIÓN ARTERIAL;0;1;1
222600;CONSULTA EXTERNA-DERMATOLOGÍA-;0;1;1
222700;CONSULTA EXTERNA-ENDOCRINOLOGÍA;0;1;1
222701;CONSULTA EXTERNA-ENDOCRINOLOGÍA-DIABETES MELLITUS I Y II;0;1;1
222800;CONSULTA EXTERNA-GASTROENTEROLOGÍA-;0;1;1
222900;CONSULTA EXTERNA-GENÉTICA;0;1;1
222901;CONSULTA EXTERNA-GENÉTICA-CITOGENÉTICA CLÍNICA;0;1;1
222902;CONSULTA EXTERNA-GENÉTICA-GENÉTICA CLÍNICA;0;1;1
222903;CONSULTA EXTERNA-GENÉTICA-GENÉTICA MOLECULAR CLÍNICA;0;1;1
223000;CONSULTA EXTERNA-GERIATRÍA-;0;1;1
223001;CONSULTA EXTERNA – GERIATRICA-ADULTO MAYOR-SERVICIO DIFERENCIADO;0;1;1
223002;CONSULTA EXTERNA – GERIATRICA-ADULTO MAYOR-SERVICIO DIFERENCIADO-AMBIENTE ADAPTADO;0;1;1
223100;CONSULTA EXTERNA-HEMATOLOGÍA-;0;1;1
223200;CONSULTA EXTERNA-INFECTOLOGÍA-;0;1;1
223300;CONSULTA EXTERNA-INMUNOLOGÍA Y ALERGIA-;0;1;1
223400;CONSULTA EXTERNA-MEDICINA FÍSICA Y REHABILITACIÓN-;0;1;1
223500;CONSULTA EXTERNA-MEDICINA INTERNA-;0;1;1
223600;CONSULTA EXTERNA-MEDICINA TROPICAL E INFECTOCONTAGIOSAS-;0;1;1
223700;CONSULTA EXTERNA-NEFROLOGÍA-;0;1;1
223800;CONSULTA EXTERNA-NEUMOLOGÍA;0;1;1
223801;CONSULTA EXTERNA-NEUMOLOGÍA-ASMA;0;1;1
223900;CONSULTA EXTERNA-NEUROLOGÍA;0;1;1
223901;CONSULTA EXTERNA NEUROLOGIA NEUROFISIOLOGIA CLINICA;0;1;1
223901;CONSULTA EXTERNA-NEUROLOGÍA-NEUROFISIOLOGÍA CLÍNICA;0;1;1
223902;CONSULTA EXTERNA NEUROLOGIA NEUROLOGIA DE LA CONDUCTA;0;1;1
223903;CONSULTA EXTERNA NEUROLOGIA ESPECIALIDADES MEDICAS (DE APOYO DIAGNOSTICO Y TERAPEUTICO AL PACIENTE);0;1;1
223906;CONSULTA EXTERNA NEUROLOGIA EPILEPSIA EPILEPTOLOGIA;0;1;1
223907;CONSULTA EXTERNA NEUROLOGIA ENFERMEDADES NEURODEGENERATIVAS;0;1;1
223908;CONSULTA EXTERNA NEUROLOGIA ENFERMEDADES NEUROVASCULARES Y METABOLICAS;0;1;1
223909;CONSULTA EXTERNA NEUROLOGIA NEUROGENETICA;0;1;1
223910;CONSULTA EXTERNA NEUROLOGIA ENFERMEDADES TRANSMISIBLES DEL SISTEMA NERVIOSO;0;1;1
224000;CONSULTA EXTERNA-ONCOLOGÍA MÉDICA -;0;1;1
224101;CONSULTA EXTERNA-PSICOLOGÍA-ADICCIONES;0;1;1
224102;CONSULTA EXTERNA-PSICOLOGÍA-CONSEJERÍA;0;1;1
224103;CONSULTA EXTERNA-PSICOLOGÍA-PSICOLOGÍA ADULTO Y GERONTE;0;1;1
224104;CONSULTA EXTERNA-PSICOLOGÍA-PSICOLOGÍA FAMILIAR;0;1;1
224105;CONSULTA EXTERNA-PSICOLOGÍA-PSICOLOGÍA NIÑO Y ADOLESCENTE;0;1;1
224200;CONSULTA EXTERNA-PSIQUIATRÍA;0;1;1
224201;CONSULTA EXTERNA-PSIQUIATRÍA-ADICCIONES;0;1;1
224202;CONSULTA EXTERNA-PSIQUIATRÍA-CONSEJERIA;0;1;1
224203;CONSULTA EXTERNA-PSIQUIATRÍA-PSIQUIATRÍA ADULTO Y GERONTE;0;1;1
224204;CONSULTA EXTERNA-PSIQUIATRÍA-PSIQUIATRÍA FAMILIAR;0;1;1
224205;CONSULTA EXTERNA-PSIQUIATRÍA-PSIQUIATRÍA NIÑO Y ADOLESCENTE;0;1;1
224300;CONSULTA EXTERNA-RADIOTERAPIA -;0;1;1
224400;CONSULTA EXTERNA-REUMATOLOGÍA-;0;1;1
224500;CONSULTA EXTERNA-TRATAMIENTO DEL DOLOR -;0;1;1
224600;CONSULTA EXTERNA-ADOLESCENTES-;0;1;1
224601;CONSULTA EXTERNA-ADOLESCENTES-SERVICIO DIFERENCIADO -HORARIO DIFERENCIADO;0;1;1
224602;CONSULTA EXTERNA-ADOLESCENTES-SERVICIO DIFERENCIADO-AMBIENTE EXCLUSIVO;0;1;1
224603;CONSULTA EXTERNA-ADOLESCENTES-SERVICIO DIFERENCIADO-SERVICIOS DIFERENCIADOS ESPECIALIZADOS;0;1;1
224700;CONSULTA EXTERNA-PEDIATRÍA GENERAL-;0;1;1
224800;CONSULTA EXTERNA-CARDIOLOGÍA PEDIÁTRICA-;0;1;1
224900;CONSULTA EXTERNA-DERMATOLOGÍA PEDIÁTRICA-;0;1;1
225000;CONSULTA EXTERNA-ENDOCRINOLOGÍA PEDIÁTRICA-;0;1;1
225100;CONSULTA EXTERNA-GASTROENTEROLOGÍA PEDIÁTRICA-;0;1;1
225200;CONSULTA EXTERNA-GINECOLOGÍA PEDIÁTRICA-;0;1;1
225300;CONSULTA EXTERNA-NEFROLOGÍA PEDIÁTRICA-;0;1;1
225400;CONSULTA EXTERNA-NEONATOLOGÍA-;0;1;1
225500;CONSULTA EXTERNA-NEUMOLOGÍA PEDIÁTRICA-;0;1;1
